B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,GEO_ID,NAME
996,42,0,0,0,0,0,0,0,6,0,33,0,0,0,7,16,0,35,95,21,352,216,111,62,1500000US060014012001,"Block Group 1, Census Tract 4012, Alameda County, California"
531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,35,79,164,131,75,30,1500000US060014012002,"Block Group 2, Census Tract 4012, Alameda County, California"
662,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,28,0,54,47,68,277,87,20,27,1500000US060014012003,"Block Group 3, Census Tract 4012, Alameda County, California"
944,5,0,0,0,0,0,0,3,9,0,2,26,2,3,0,178,3,26,212,68,254,100,18,35,1500000US060014013001,"Block Group 1, Census Tract 4013, Alameda County, California"
1296,94,0,0,0,0,0,0,33,23,0,0,23,0,36,52,144,15,37,158,95,312,185,8,81,1500000US060014013002,"Block Group 2, Census Tract 4013, Alameda County, California"
1106,0,0,0,0,0,0,0,0,0,0,0,4,12,17,0,121,21,51,136,58,327,269,54,36,1500000US060014013003,"Block Group 3, Census Tract 4013, Alameda County, California"
1096,5,0,0,0,0,0,0,8,0,0,0,25,15,0,21,250,52,29,161,108,384,33,5,0,1500000US060014014001,"Block Group 1, Census Tract 4014, Alameda County, California"
1688,34,0,0,0,0,15,0,7,24,0,35,0,26,0,159,105,8,90,282,88,496,268,51,0,1500000US060014014002,"Block Group 2, Census Tract 4014, Alameda County, California"
746,2,0,0,0,0,49,0,0,22,0,0,0,31,0,22,34,25,70,122,14,224,65,56,10,1500000US060014014003,"Block Group 3, Census Tract 4014, Alameda County, California"
849,16,0,0,0,0,0,0,0,7,0,0,12,21,26,89,214,19,60,81,77,182,33,5,7,1500000US060014015001,"Block Group 1, Census Tract 4015, Alameda County, California"
